time,ChargingStationID,BaysVehicleIds,BaysChargingPower,TotalChargingPower,BaysChargingDesire,BaysNumberOfVehicles,QueueVehicleIds,QueueChargingDesire,QueueNumberOfVehicles,BtmsPower,BtmsSoc,BtmsEnergy,TotalChargingPowerDesire,GridPower,GridPowerUpper,GridPowerLower,PowerDesire,BtmsPowerDesire,EnergyLagSum,TimeLagSum
2760,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.2391449163867182e-05,0.800000064422635,120.00002770282794,0.0,1.2391449163867182e-05,630.0,0,0.0,900.0,0.0,0.0
2820,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,7.151875910611658e-06,0.8000000655929383,120.00002787837346,0.0,7.151875910611658e-06,630.0,0,0.0,900.0,0.0,0.0
2880,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.1931952425445163e-05,0.8000000662683932,120.0000279796917,0.0,1.1931952425445163e-05,630.0,0,0.0,900.0,0.0,0.0
2940,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.3526474766367144e-05,0.8000000673952996,120.0000281487277,0.0,1.3526474766367144e-05,630.0,0,0.0,900.0,0.0,0.0
3000,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,7.2279572893039015e-06,0.8000000686727998,120.00002834035276,0.0,7.2279572893039015e-06,630.0,0,0.0,900.0,0.0,0.0
3060,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.1880569007115498e-05,0.8000000693554401,120.00002844274881,0.0,1.1880569007115498e-05,630.0,0,0.0,900.0,0.0,0.0
3120,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,6.446275173912167e-06,0.8000000704774937,120.00002861105688,0.0,6.446275173912167e-06,630.0,0,0.0,900.0,0.0,0.0
3180,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.1392789219754467e-05,0.8000000710863086,120.00002870237911,0.0,1.1392789219754467e-05,630.0,0,0.0,900.0,0.0,0.0
3240,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,6.642009975430793e-06,0.800000072162294,120.00002886377696,0.0,6.642009975430793e-06,630.0,0,0.0,900.0,0.0,0.0
3300,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.1261147932968653e-05,0.8000000727895948,120.0000289578721,0.0,1.1261147932968653e-05,630.0,0,0.0,900.0,0.0,0.0
3360,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,6.331029270020614e-06,0.8000000738531475,120.00002911740503,0.0,6.331029270020614e-06,630.0,0,0.0,900.0,0.0,0.0
3420,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,4.541342402552748e-06,0.800000074451078,120.00002920709461,0.0,4.541342402552748e-06,630.0,0,0.0,900.0,0.0,0.0
3480,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,4.2526892632127184e-06,0.8000000748799825,120.0000292714303,0.0,4.2526892632127184e-06,630.0,0,0.0,900.0,0.0,0.0
3540,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,4.3707382101683925e-06,0.8000000752816253,120.00002933167673,0.0,4.3707382101683925e-06,630.0,0,0.0,900.0,0.0,0.0
3600,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,5.422914603001289e-06,0.8000000756944172,120.00002939359553,0.0,5.422914603001289e-06,630.0,0,0.0,900.0,0.0,0.0
3660,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,4.438028968579396e-06,0.8000000762065813,120.00002947042015,0.0,4.438028968579396e-06,630.0,0,0.0,900.0,0.0,0.0
3720,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.0586817962875804e-05,0.8000000766257284,120.00002953329222,0.0,1.0586817962875804e-05,630.0,0,0.0,900.0,0.0,0.0
3780,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.2347006833605793e-05,0.8000000776255944,120.00002968327215,0.0,1.2347006833605793e-05,630.0,0,0.0,900.0,0.0,0.0
3840,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,6.480999356535928e-06,0.8000000787917004,120.00002985818807,0.0,6.480999356535928e-06,630.0,0,0.0,900.0,0.0,0.0
3900,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.1009119137985756e-05,0.8000000794037947,120.00002995000223,0.0,1.1009119137985756e-05,630.0,0,0.0,900.0,0.0,0.0
3960,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,5.836286961324093e-06,0.8000000804435448,120.00003010596475,0.0,5.836286961324093e-06,630.0,0,0.0,900.0,0.0,0.0
4020,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.0591909119558977e-05,0.8000000809947495,120.00003018864548,0.0,1.0591909119558977e-05,630.0,0,0.0,900.0,0.0,0.0
4080,519,['rideHailVehicle-1985060@GlobalRHM'],"[285.0, 0, 0, 0, 0, 0]",285.0,"[1.0421511627906976, nan, nan, nan, nan, nan]",1,[],[],0,-281.53799979067617,0.8000000819950963,120.00003033869753,0.0,3.4620002093238327,630.0,0,0.0,900.0,0.0,0.0
4140,519,['rideHailVehicle-1985060@GlobalRHM'],"[300.0, 0, 0, 0, 0, 0]",300.0,"[1.0509554140127388, nan, nan, nan, nan, nan]",1,[],[],0,-290.6637722488962,0.7631977346137275,114.47967740162545,300.0,9.33622775110382,630.0,0,300.0,900.0,-2.666666666666666,0.0
4200,519,['rideHailVehicle-1985060@GlobalRHM'],"[300.0, 0, 0, 0, 0, 0]",300.0,"[1.056338028169014, nan, nan, nan, nan, nan]",1,[],[],0,-282.4109235413383,0.7252024759792405,108.78038774968631,300.0,17.58907645866168,630.0,0,300.0,900.0,-2.666666666666666,0.0
4260,519,['rideHailVehicle-1985060@GlobalRHM'],"[300.0, 0, 0, 0, 0, 0]",300.0,"[1.0629921259842519, nan, nan, nan, nan, nan]",1,[],[],0,-271.97796407198894,0.6882860209352002,103.24291866064046,300.0,28.022035928011064,630.0,0,300.0,900.0,-2.6666666666666643,0.0
4320,519,"['rideHailVehicle-1985060@GlobalRHM', 'rideHailVehicle-880683@GlobalRHM']","[300.0, 155.00000000000017, 0, 0, 0, 0]",455.00000000000017,"[1.0714285714285714, 1.014864864864865, nan, nan, nan, nan]",2,[],[],0,-308.03022621548575,0.6527333512376929,97.91001740432695,300.0,146.96977378451442,630.0,0,300.0,900.0,-2.6666666666666643,0.0
4380,519,"['rideHailVehicle-1985060@GlobalRHM', 'rideHailVehicle-880683@GlobalRHM']","[300.0, 300.0, 0, 0, 0, 0]",600.0,"[1.0824742268041236, 1.0588235294117647, nan, nan, nan, nan]",2,[],[],0,-311.430780721858,0.6124679682429555,91.87020904716056,600.0,288.569219278142,630.0,0,600.0,900.0,-5.999999999999995,0.0
4440,519,"['rideHailVehicle-1985060@GlobalRHM', 'rideHailVehicle-880683@GlobalRHM']","[300.0, 300.0, 0, 0, 0, 0]",600.0,"[1.0975609756097562, 1.064516129032258, nan, nan, nan, nan]",2,[],[],0,-300.0000442125676,0.5717580683861039,85.76372315065353,600.0,299.9999557874324,630.0,0,600.0,900.0,-5.9999999999999964,0.0
