,time,Power_original,Power_noise,PredictionGridUpper,PredictionGridLower
91,23623,4342.5,4267.2731810966925,18200.0,-18200.0
92,23683,4405.000000000002,4630.275377719879,18200.0,-18200.0
93,23743,3905.0,3938.094413937428,18200.0,-18200.0
94,23803,3835.0,3577.938905438792,18200.0,-18200.0
95,23863,3815.000000000002,3550.9029205762467,18200.0,-18200.0
96,23923,5077.500000000001,5027.694215726303,18200.0,-18200.0
97,23983,4512.500000000001,4419.569455394999,18200.0,-18200.0
98,24043,5165.000000000001,5540.160875528833,18200.0,-18200.0
99,24103,5262.500000000002,5043.733986693877,18200.0,-18200.0
100,24163,4845.0,4742.419385249546,18200.0,-18200.0
101,24223,4890.000000000001,4682.904425068823,18200.0,-18200.0
102,24283,4835.0,4747.788790176937,18200.0,-18200.0
103,24343,5315.000000000001,5210.636898983727,18200.0,-18200.0
104,24403,5420.000000000002,5439.967966580423,18200.0,-18200.0
105,24463,4277.500000000003,4629.354742078288,18200.0,-18200.0
106,24523,3082.500000000003,2887.9066139006336,18200.0,-18200.0
107,24583,2917.5,3209.143406457484,18200.0,-18200.0
108,24643,2527.5000000000005,2342.216891062786,18200.0,-18200.0
109,24703,2100.0,2087.719993513036,18200.0,-18200.0
110,24763,2100.0,2015.9013762525983,18200.0,-18200.0
111,24823,1670.0,1888.7254724284583,18200.0,-18200.0
112,24883,1650.0000000000005,2041.4595158760465,18200.0,-18200.0
113,24943,1322.5,1185.052485687595,18200.0,-18200.0
114,25003,1175.0000000000002,1317.6819128625782,18200.0,-18200.0
115,25063,995.0000000000001,1081.64101722531,18200.0,-18200.0
116,25123,750.0,902.2944338273315,18200.0,-18200.0
117,25183,697.5,1012.9138932207959,18200.0,-18200.0
118,25243,565.0000000000002,714.9954121859112,18200.0,-18200.0
119,25303,450.0,887.3384119813101,18200.0,-18200.0
120,25363,555.0,570.2621917113761,18200.0,-18200.0
121,25423,420.0,101.74335580259697,18200.0,-18200.0
122,25483,450.0,383.5835421927843,18200.0,-18200.0
123,25543,450.0,495.1877427720675,18200.0,-18200.0
124,25603,412.5,892.2436501617642,18200.0,-18200.0
125,25663,450.0,317.46056745751343,18200.0,-18200.0
126,25723,409.9999999999997,106.48776880740957,18200.0,-18200.0
127,25783,157.5,202.85767665321544,18200.0,-18200.0
