,btms_size,cost_a,cost_b,cost_c,cost_total,share_cost_a,share_cost_b,share_cost_c,E_Charge,c_rate,use_rate,btms_ratio,load_factor
1326,283.3208739893204,133.57267517459584,8.276146463364226,7.322646649825901,149.17146828778598,0.895430451330703,0.055480760217481,0.049088788451815975,866.0,0.9224425807741421,2.572796357514217,0.8417169891541201,0.9999999834264335
1332,335.83375287129206,213.8280281772338,13.248758227339396,7.355574394686487,234.4323607992597,0.9121096910350656,0.05651420385039792,0.03137610511453637,874.3333333333333,0.7771355058061608,2.1803679268044442,0.8374851050311878,0.9999999815510572
1341,183.6200513939573,106.43759314838746,6.594860131030483,3.059532981657703,116.09198626107565,0.9168384190535191,0.05680719525462772,0.02635438569185314,321.0833333333333,3.188917278756812,1.6568125945138854,0.9474923864670504,0.9999999982703521
1343,471.5256615199965,38.708759086819,2.3983899341601567,6.141079560086627,47.24822858106579,0.8192637110279117,0.05076147839162134,0.1299748105804669,689.7916666666666,0.5707110518965979,1.2958132037599452,0.8857879960508669,0.9999999981390548
135,296.9336585841399,84.73946218043774,5.25044661503792,5.118245538428105,95.10815433390376,0.8909799877194144,0.05520501004156552,0.05381500223902015,554.8333333333334,1.9367540820021154,1.714447062226078,0.9175314604426912,0.9999999906378018
1350,198.09331119720315,111.98470992047294,6.938558801399667,6.254099128523671,125.17736785039628,0.894608281381261,0.055429818668916046,0.049961899949822856,700.125,2.870540038763094,3.141119220237082,0.8887480195707058,0.9999999918569022
1357,258.3365336661403,144.27884140980015,8.939499201548566,7.122600644318126,160.34094125566685,0.8998253364357182,0.05575306675600934,0.04442159680827242,837.2916666666666,2.1778327334597045,2.7443737856565225,0.8467443772529236,0.9999999964473778
136,154.20929307092922,89.9470656539375,5.573109083341955,3.4594397372816252,98.97961447456109,0.9087433420651981,0.05630562528382356,0.034951032650978264,365.08333333333337,1.838900811549391,2.2307692325760025,0.9422652719285769,0.9999999946257371
1371,338.3046762192407,128.81600076069688,7.981423503922801,5.023830724800855,141.82125498942054,0.9082982714425013,0.05627804876298826,0.035423679794510485,542.2916666666666,1.7015526362571045,1.4769742363354295,0.9213995374093606,0.9999999943507352
1374,346.2016829166041,62.80351164455212,3.89129782797649,7.109003979717545,73.80381345224615,0.8509521216703573,0.052724888402877805,0.09632298992676494,808.7083333333333,2.0618336615520807,2.043308830442883,0.8747244546150973,0.9999999994468156
1381,203.98526456142605,91.98984679071319,5.699679550381376,5.238773695596337,102.9283000366909,0.8937274467558632,0.05537524226427142,0.050897310979865294,581.4583333333334,2.4704502626335794,2.5549714931606404,0.8963265398425365,0.9999999996089122
1382,194.18835694724487,43.22511462352875,2.678222765639935,3.9729619325543033,49.87629932172299,0.866646387389503,0.0536973031692724,0.07965630944122452,423.3333333333333,1.4468858919021161,2.034638554409688,0.9333144516433107,0.9999999995521911
1386,142.29496472044852,20.213880245355824,1.2524495244614748,4.362413554873569,25.82874332469087,0.7826118364044625,0.04849053276487522,0.16889763083066223,475.5416666666667,3.0124482321779893,3.049449338528162,0.9124779518990482,0.9999999959194684
1403,80.00734955368,41.75112489539508,2.5868945440588136,1.248360864053559,45.586380303507454,0.9158683935294313,0.056747092592911476,0.027384513877657207,126.66666666666666,3.6782220175756857,1.551042810130845,0.9796959811804788,0.9999999998720314
1424,405.15323845225134,264.6637687288163,16.398534435898096,7.7690020192370906,288.8313051839515,0.9163264645439202,0.05677547461641723,0.026898060839662626,982.2916666666666,0.6327070052664512,1.9100936895059213,0.7878318327555799,0.99999997442414
1430,251.39479263333732,162.2782968215965,10.054743236708479,7.133862196752884,179.46690225505787,0.9042240924789967,0.05602561313739458,0.03975029438360873,692.3333333333334,2.261995836330182,2.439429747735981,0.8857871000130206,0.9999999996366503
144,136.01057523583594,74.89299625978444,4.640360802207319,2.044082419908943,81.5774394819007,0.9180601491715205,0.0568828935019082,0.025056957326571358,210.0,2.1361109223586423,1.4941176472072344,0.9676942888889035,0.999999999302783
1440,187.51006880830096,91.67965100771121,5.680459857962349,2.6064659217173083,99.96657678739086,0.9171030353744702,0.056823590849205165,0.02607337377632472,200.33333333333334,3.9504082631989204,1.0379379543685259,0.9714999196791484,0.9999999998232918
1442,225.7325689891343,122.96995644841708,7.619203320067811,4.349295092001461,134.93845486048633,0.911304020603737,0.05646428460993829,0.032231694786324795,475.83333333333326,1.2344191739467572,1.9165624223790285,0.909206078945688,0.9999999752164573
1443,163.09184232670447,99.41718930821303,6.159876775809798,3.556040573309176,109.133106657332,0.9109718613653502,0.05644370406453515,0.03258443457011463,382.91666666666663,1.7339828463100848,2.1685575388352314,0.9236318890971106,0.9999999938635109
150,120.5788489860454,75.06432168280014,4.6509761042660855,1.8640876587386015,81.57938544580482,0.920138356921887,0.057011658997552055,0.022849984080561145,193.16666666666666,3.659830036110634,1.537043620343921,0.9594561721263891,0.9999999998757201
157,206.9928504778439,129.32579291536902,8.013010162888984,3.6207905161040093,140.95959359436202,0.9174671238591148,0.05684614972676454,0.025686726414120637,382.41666666666663,2.815540755268507,1.7394442106932275,0.9415188897413148,0.9999999906606983
