taz,parkingType,pricingModel,chargingPointType,numStalls,feeInCents,reservedFor,parkingZoneId,locationX,locationY
60,Workplace,FlatFee,DepotXFC(300.0|DC),8,0,ridehail(GlobalRHM),depot-60-52,576580.085951028,4171922.18519312
608,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-608-136,498757.093571762,4238756.13311699
63,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-63-135,612523.386109359,4109695.34641371
632,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-632-67,552243.935698702,4175536.17318483
64,Workplace,FlatFee,DepotXFC(300.0|DC),7,0,ridehail(GlobalRHM),depot-64-2,588385.283721517,4155801.41547785
669,Workplace,FlatFee,DepotXFC(300.0|DC),6,0,ridehail(GlobalRHM),depot-669-44,569631.133113059,4184108.34395893
677,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-677-81,589728.959964546,4186322.51823791
682,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-682-110,551777.384137789,4166471.74326548
684,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-684-73,561584.839509075,4153553.8727345
687,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-687-159,590624.786393352,4125422.73812817
689,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-689-83,545499.289954077,4278334.86244063
697,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-697-149,551845.206320603,4223294.83565111
700,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-700-97,528647.872140385,4256910.76463537
702,Workplace,FlatFee,DepotXFC(300.0|DC),6,0,ridehail(GlobalRHM),depot-702-21,579818.323296554,4141523.42250925
706,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-706-16,564961.946448004,4222878.67176068
708,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-708-143,523121.750620982,4197618.37127776
71,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-71-59,602844.738837111,4243873.91604296
716,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-716-147,574956.158887525,4119107.48534511
719,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-719-30,539228.924336967,4208102.28145246
722,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-722-106,570632.332759097,4217468.75289819
726,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-726-19,547561.236078012,4167719.80542127
733,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-733-69,580639.274332752,4164889.18116224
740,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-740-17,583482.027466196,4167244.55310997
744,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-744-157,589441.941443015,4255349.78623756
745,Workplace,FlatFee,DepotXFC(300.0|DC),7,0,ridehail(GlobalRHM),depot-745-43,564722.912956958,4190684.09423376
750,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-750-35,544672.588584151,4260797.45178435
755,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-755-153,528758.355984233,4270678.47724964
761,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-761-33,523568.00276451,4255134.6244884
777,Workplace,FlatFee,DepotXFC(300.0|DC),6,0,ridehail(GlobalRHM),depot-777-72,581309.833134948,4136673.95001313
781,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-781-26,592310.556412515,4180848.34880831
839,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-839-102,609712.087659379,4121964.81314142
85,Workplace,FlatFee,DepotXFC(300.0|DC),9,0,ridehail(GlobalRHM),depot-85-48,582807.50255712,4203056.77144117
851,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-851-120,594200.060522465,4124057.53096186
865,Workplace,FlatFee,DepotXFC(300.0|DC),7,0,ridehail(GlobalRHM),depot-865-104,550563.275205253,4178937.97999172
87,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-87-65,598823.304753386,4121288.36284337
877,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-877-95,544982.749640523,4199706.55754624
882,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-882-133,621473.463179519,4107207.10822392
884,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-884-5,585560.733910123,4133864.35508382
887,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-887-88,573422.171598212,4180334.91754391
898,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-898-111,600572.759549291,4139498.6196515
90,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-90-49,497379.73827865,4261701.88702906
900,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-900-50,544067.629056834,4192724.90434701
918,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-918-55,586604.763167392,4128840.5864698
92,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-92-51,535759.812099589,4217975.62792945
921,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-921-107,560349.931234915,4157952.54525692
928,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-928-98,599478.773635587,4175147.2819151
945,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-945-96,513746.056830319,4260082.00701046
972,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-972-146,594136.922607019,4155678.69398229
978,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-978-130,542982.30337756,4267516.80473439
985,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-985-139,543901.495416904,4238121.034444
992,Workplace,FlatFee,DepotXFC(300.0|DC),6,0,ridehail(GlobalRHM),depot-992-39,545166.494603155,4179215.04359173
999,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-999-75,525211.693039947,4207217.7790352
