time,ChargingStationID,BaysVehicleIds,BaysChargingPower,TotalChargingPower,BaysChargingDesire,BaysNumberOfVehicles,QueueVehicleIds,QueueChargingDesire,QueueNumberOfVehicles,BtmsPower,BtmsSoc,BtmsEnergy,TotalChargingPowerDesire,GridPower,GridPowerUpper,GridPowerLower,PowerDesire,BtmsPowerDesire,EnergyLagSum,TimeLagSum
2400,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.68889454163862e-06,0.800000036459661,120.00000543887823,0.0,8.68889454163862e-06,210.0,0,0.0,300.0,0.0,0.0
2460,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.65495051539578e-06,0.8000000372802789,120.00000556197091,0.0,8.65495051539578e-06,210.0,0,0.0,300.0,0.0,0.0
2520,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.508843729531071e-06,0.8000000380976908,120.0000056845827,0.0,8.508843729531071e-06,210.0,0,0.0,300.0,0.0,0.0
2580,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.422371769027628e-06,0.8000000389013039,120.00000580512466,0.0,8.422371769027628e-06,210.0,0,0.0,300.0,0.0,0.0
2640,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.295344006857544e-06,0.8000000396967502,120.0000059244416,0.0,8.295344006857544e-06,210.0,0,0.0,300.0,0.0,0.0
2700,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.216671371414757e-06,0.8000000404801992,120.00000604195897,0.0,8.216671371414757e-06,210.0,0,0.0,300.0,0.0,0.0
2760,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.195463273917558e-06,0.8000000412562183,120.00000615836181,0.0,8.195463273917558e-06,210.0,0,0.0,300.0,0.0,0.0
2820,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.123329953638147e-06,0.8000000420302342,120.00000627446421,0.0,8.123329953638147e-06,210.0,0,0.0,300.0,0.0,0.0
2880,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.007445039450843e-06,0.8000000427974376,120.00000638954472,0.0,8.007445039450843e-06,210.0,0,0.0,300.0,0.0,0.0
2940,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.927017440560347e-06,0.8000000435536962,120.00000650298352,0.0,7.927017440560347e-06,210.0,0,0.0,300.0,0.0,0.0
3000,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.900765080801798e-06,0.800000044302359,120.00000661528294,0.0,7.900765080801798e-06,210.0,0,0.0,300.0,0.0,0.0
3060,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.826689472567651e-06,0.8000000450485425,120.00000672721045,0.0,7.826689472567651e-06,210.0,0,0.0,300.0,0.0,0.0
3120,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.825922399522996e-06,0.8000000457877299,120.00000683808855,0.0,7.825922399522996e-06,210.0,0,0.0,300.0,0.0,0.0
3180,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.727866688305244e-06,0.8000000465268448,120.00000694895579,0.0,7.727866688305244e-06,210.0,0,0.0,300.0,0.0,0.0
3240,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.589071710098485e-06,0.8000000472566988,120.0000070584339,0.0,7.589071710098485e-06,210.0,0,0.0,300.0,0.0,0.0
3300,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.581227170794451e-06,0.8000000479734445,120.00000716594575,0.0,7.581227170794451e-06,210.0,0,0.0,300.0,0.0,0.0
3360,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.472257555475226e-06,0.8000000486894493,120.00000727334647,0.0,7.472257555475226e-06,210.0,0,0.0,300.0,0.0,0.0
3420,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.4821698363174506e-06,0.8000000493951624,120.00000737920345,0.0,7.4821698363174506e-06,210.0,0,0.0,300.0,0.0,0.0
3480,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.4578848761295545e-06,0.8000000501018119,120.00000748520085,0.0,7.4578848761295545e-06,210.0,0,0.0,300.0,0.0,0.0
3540,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.401264589905327e-06,0.8000000508061677,120.00000759085422,0.0,7.401264589905327e-06,210.0,0,0.0,300.0,0.0,0.0
3600,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.3562869509254535e-06,0.800000051505176,120.00000769570548,0.0,7.3562869509254535e-06,210.0,0,0.0,300.0,0.0,0.0
3660,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.283160901775772e-06,0.8000000521999364,120.00000779991954,0.0,7.283160901775772e-06,210.0,0,0.0,300.0,0.0,0.0
3720,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.2097058175911155e-06,0.8000000528877905,120.00000790309765,0.0,7.2097058175911155e-06,210.0,0,0.0,300.0,0.0,0.0
3780,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.198191953445119e-06,0.8000000535687072,120.00000800523516,0.0,7.198191953445119e-06,210.0,0,0.0,300.0,0.0,0.0
3840,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.100523748402112e-06,0.8000000542485364,120.00000810720954,0.0,7.100523748402112e-06,210.0,0,0.0,300.0,0.0,0.0
3900,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.03072733705921e-06,0.8000000549191414,120.00000820780029,0.0,7.03072733705921e-06,210.0,0,0.0,300.0,0.0,0.0
3960,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,7.010166499623182e-06,0.8000000555831546,120.00000830740227,0.0,7.010166499623182e-06,210.0,0,0.0,300.0,0.0,0.0
4020,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,6.96719009751665e-06,0.8000000562452259,120.00000840671296,0.0,6.96719009751665e-06,210.0,0,0.0,300.0,0.0,0.0
4080,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,6.902828886799563e-06,0.8000000569032383,120.00000850541483,0.0,6.902828886799563e-06,210.0,0,0.0,300.0,0.0,0.0
4140,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,6.859282846617818e-06,0.8000000575551721,120.0000086032049,0.0,6.859282846617818e-06,210.0,0,0.0,300.0,0.0,0.0
4200,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,6.774212865446352e-06,0.8000000582029934,120.00000870037807,0.0,6.774212865446352e-06,210.0,0,0.0,300.0,0.0,0.0
4260,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,6.7226806237497975e-06,0.8000000588427801,120.0000087963461,0.0,6.7226806237497975e-06,210.0,0,0.0,300.0,0.0,0.0
4320,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,6.674921485741346e-06,0.8000000594776999,120.00000889158407,0.0,6.674921485741346e-06,210.0,0,0.0,300.0,0.0,0.0
4380,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,6.665090626239294e-06,0.8000000601081092,120.00000898614546,0.0,6.665090626239294e-06,210.0,0,0.0,300.0,0.0,0.0
4440,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.0542857142857143, nan]",1,[],[],0,-295.1314370139,0.80000006073759,120.00000908056758,0.0,4.868562986100017,210.0,0,0.0,300.0,0.0,0.0
4500,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.059375, nan]",1,[],[],0,-289.387440553026,0.7614207879156478,114.2131181587264,300.0,10.61255944697399,210.0,0,300.0,300.0,-3.166666666666666,0.0
4560,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.0655172413793104, nan]",1,[],[],0,-282.8640792340405,0.7235923643044657,108.53885461847099,300.0,17.135920765959497,210.0,0,300.0,300.0,-3.166666666666666,0.0
4620,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.073076923076923, nan]",1,[],[],0,-275.66384734523706,0.6866166676632992,102.99250012368589,300.0,24.33615265476294,210.0,0,300.0,300.0,-3.1666666666666643,0.0
4680,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.0826086956521739, nan]",1,[],[],0,-267.8929990219703,0.6505821778052187,97.5873266463283,300.0,32.1070009780297,210.0,0,300.0,300.0,-3.1666666666666643,0.0
4740,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.095, nan]",1,[],[],0,-259.66182232610913,0.6155634851138327,92.33452274393672,300.0,40.33817767389087,210.0,0,300.0,300.0,-3.1666666666666643,0.0
4800,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.111764705882353, nan]",1,[],[],0,-251.08326218352406,0.581620763232633,87.24311446303261,300.0,48.916737816475944,210.0,0,300.0,300.0,-3.1666666666666643,0.0
4860,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.1357142857142857, nan]",1,[],[],0,-242.2718793056834,0.5487994217625096,82.31991324374782,300.0,57.7281206943166,210.0,0,300.0,300.0,-3.1666666666666643,0.0
4920,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.1727272727272728, nan]",1,[],[],0,-233.34177936283518,0.5171298950479483,77.56948423775403,300.0,66.65822063716482,210.0,0,300.0,300.0,-3.1666666666666643,0.0
4980,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.2375, nan]",1,[],[],0,-224.40773556544173,0.4866277016595419,72.9941552306396,300.0,75.59226443455827,210.0,0,300.0,300.0,-3.1666666666666643,0.0
5040,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.38, nan]",1,[],[],0,-215.5804483306768,0.4572933571338326,68.59400355288585,300.0,84.4195516693232,210.0,0,300.0,300.0,-3.1666666666666643,0.0
5100,435,['rideHailVehicle-954518@GlobalRHM'],"[300.0, 0]",300.0,"[1.95, nan]",1,[],[],0,-206.96773633722003,0.4291129063645909,64.36693593855885,300.0,93.03226366277997,210.0,0,300.0,300.0,-3.1666666666666643,0.0
5160,435,['rideHailVehicle-954518@GlobalRHM'],"[90.0, 0]",90.0,"[inf, nan]",1,[],[],0,11.328247598647607,0.40205830030065826,60.308745029985914,90.0,101.32824759864761,210.0,0,90.0,300.0,-1.5,20.0
5220,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,109.09478521384777,0.4031281903519098,60.46922853763342,0.0,109.09478521384777,210.0,0,0.0,300.0,0.0,80.0
5280,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,116.38790465001429,0.41343158673579955,62.014737994829595,0.0,116.38790465001429,210.0,0,0.0,300.0,0.0,0.0
5340,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,123.20364901362727,0.4244237777332776,63.66356664403813,0.0,123.20364901362727,210.0,0,0.0,300.0,0.0,0.0
5400,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,129.5426339078148,0.4360596779208138,65.40895167173117,0.0,129.5426339078148,210.0,0,0.0,300.0,0.0,0.0
5460,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,135.40966165041374,0.4482942600151733,67.24413898542522,0.0,135.40966165041374,210.0,0,0.0,300.0,0.0,0.0
5520,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,140.81348223805986,0.4610829502853616,69.16244252547276,0.0,140.81348223805986,210.0,0,0.0,300.0,0.0,0.0
5580,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,145.76326063308053,0.4743820013889554,71.15730019051193,0.0,145.76326063308053,210.0,0,0.0,300.0,0.0,0.0
5640,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,149.99999993551347,0.48814853156330723,73.22227971614724,0.0,149.99999993551347,210.0,0,0.0,300.0,0.0,0.0
5700,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000011576418,0.5023151982274335,75.34727971523368,0.0,150.00000011576418,210.0,0,0.0,300.0,0.0,0.0
5760,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000009681094,0.5164818649085835,77.47227971687367,0.0,150.00000009681094,210.0,0,0.0,300.0,0.0,0.0
