,time,time_x,P_Grid,P_BTMS,E_BTMS,E_BTMS_lower,E_BTMS_upper,E_Shift,P_Charge,P_Shift,P_BTMS_Ch,P_BTMS_DCh,t_wait,"param: btms size, a,b,c",d
29,26863.0,26863,1012.5558220580349,820.7082573913441,679.2585121129492,645.2955865073018,713.2214377185967,3.351618105396729e-08,191.84756466961076,2.92006123912281e-09,820.7082578344249,-4.4308065433642985e-07,-7.811298879890044e-10,0.0,10
30,27163.0,27163,1489.6370543991998,744.2408975522222,744.2312491526411,707.019686695009,781.4428116102732,3.375950676901542e-08,745.3961568332319,-1.37455719145303e-08,744.2408980013744,-4.4915227655998726e-07,-7.827002716211309e-10,0.0,10
31,27463.0,27463,1725.0951234929585,755.1662410570939,803.1503202050172,762.9928041947663,843.3078362152681,3.261404495035417e-08,969.9288824351364,-7.278363559508132e-10,755.1662415111916,-4.5409766750827724e-07,-7.88942460492185e-10,0.0,10
32,27763.0,27763,2584.602545261503,354.72973684914143,862.9343142848201,819.787598570579,906.0810299990611,3.255339267773802e-08,2229.87280840735,-5.011818036119918e-09,354.72973729622277,-4.470813289274714e-07,-7.914217041788901e-10,0.0,10
33,28063.0,28063,2359.288395784034,501.67900818479933,891.0170851148868,846.4662308591423,935.5679393706312,3.2135740081188664e-08,1857.6093876067168,7.48236502475809e-09,501.67900865414293,-4.6934362225292256e-07,-7.908105308370452e-10,0.0,10
34,28363.0,28363,2677.665086984116,288.9572694025277,930.7333399255026,884.1966729292275,977.2700069217777,3.275927092458311e-08,2388.7078174207013,-1.6088661555699538e-07,288.95726984393804,-4.414103909662603e-07,-8.468439964299149e-10,0.0,10
35,28663.0,28663,2991.3805181041143,-241.04865275707334,953.6091237494276,905.9286675619561,1001.289579936899,1.935205523217623e-08,3232.4291710267667,1.655794333094004e-07,4.129786025824968e-07,-241.04865317005195,-8.443330601419812e-10,0.0,10
36,28963.0,28963,2991.380518086621,-1342.7472301304779,932.4645050829943,885.8412798288446,979.087730337144,3.3150344950405675e-08,4334.12774827485,5.7751449828636185e-08,4.494178666715926e-07,-1342.7472305798956,-7.561319437953543e-10,0.0,10
37,29263.0,29263,2991.38051808638,-408.9152209337328,814.6796603308629,773.9456773143197,855.4136433474062,3.796296826018761e-08,3400.2957394663617,4.4624904890688737e-07,4.3500386188073543e-07,-408.91522136873675,-4.931108249293271e-10,0.0,10
38,29563.0,29563,2428.6920030773995,443.760997609681,778.8099041048854,739.869408899641,817.7503993101298,7.51503999902294e-08,1984.9310050108816,-4.56837017824173e-07,443.760998087402,-4.777209900062468e-07,-4.955462380915526e-10,0.0,10
39,29863.0,29863,1538.8760620485707,670.4388914393877,813.9409830782326,773.243933924321,854.6380322321443,3.708064561136648e-08,868.437170544362,-6.482084102842408e-08,670.4388919002259,-4.608381415306126e-07,-7.704264814320408e-10,0.0,10
40,30163.0,30163,1086.6646733212076,588.8734889715424,867.0173953132428,823.6665255475806,910.368265078905,3.167890714041034e-08,497.7911843311538,-1.8511359101547516e-08,588.8734894277083,-4.5616581196837967e-07,-8.092580934780033e-10,0.0,10
41,30463.0,30463,801.8704105965923,801.8704102349758,913.6365465195886,867.9547191936091,959.3183738455681,3.013627414130073e-08,0.0,-3.6161652200280687e-07,801.8704106937201,-4.587444536523299e-07,-9.333169178170528e-10,0.0,10
42,,30763,,,977.1179539926006,928.2620562929706,1025.9738516922307,1.5585450900345966e-12,,,,,,,10
