,time,time_x,P_Grid,P_BTMS,E_BTMS,E_Shift,P_Charge,P_Shift,P_BTMS_Ch,P_BTMS_DCh,t_wait,"param: btms size, a,b,c",d
30,19963.0,19963,811.8041640294764,736.0846680967591,516.9277976164343,3.8704746352810856e-10,75.71949593270885,-8.427222652275779e-12,736.0846681171269,-2.0367870616114748e-08,1.5914580307547033e-14,0.0,10.0
31,20023.0,20023,791.3118066028774,739.7439320339492,528.5824715279315,3.8690708831692736e-10,51.56787456892712,-1.0536613078318399e-12,739.7439320543389,-2.038953376023762e-08,1.6028365847586863e-14,0.0,10.0
32,20083.0,20083,791.5311002632458,729.4568344214754,540.2950837851007,3.8688960409536503e-10,62.074265841770845,5.512382329240883e-13,729.4568344418922,-2.0416800137781988e-08,1.6141516110524865e-14,0.0,10.0
33,20143.0,20143,811.1056131903418,705.9703576418701,551.8448169967392,3.8689886873388655e-10,105.13525554848111,9.522471067982709e-12,705.9703576623392,-2.0468976468647754e-08,1.7699251116892026e-14,0.0,10.0
34,20203.0,20203,860.4648187189764,664.3479271510016,563.0226809927004,3.870576562734428e-10,196.11689156794486,-2.988802835608839e-11,664.3479271715106,-2.0508958283725275e-08,1.2385891558569735e-14,0.0,10.0
35,20263.0,20263,737.7324322982874,737.7324322983113,573.5415231725563,3.865596076166283e-10,0.0,2.3863653696599168e-11,737.7324323187825,-2.0471208442308924e-08,1.747454273775689e-14,0.0,10.0
36,20323.0,20323,801.3052792038908,690.4998138249837,585.2222866839111,3.8695740875625533e-10,110.80546537889423,-1.2846662733496434e-11,690.4998138454911,-2.0507378735201812e-08,1.442308869799414e-14,0.0,10.0
37,20383.0,20383,727.9158824013653,727.9158824013888,596.1552004027716,3.8674337827492513e-10,0.0,2.3526157021422217e-11,727.9158824218988,-2.0510007228976453e-08,1.8809821738892826e-14,0.0,10.0
38,20443.0,20443,829.4867713638694,658.0141587825905,607.6805352074251,3.8713555465613085e-10,171.4726125812454,-3.349237940455923e-11,658.01415880317,-2.057949036492759e-08,1.2389206227489197e-14,0.0,10.0
39,20503.0,20503,737.6623996302518,708.1274043036915,618.0990927214476,3.8657743210386766e-10,29.534995326570527,1.029813261764254e-11,708.1274043242454,-2.0553791406321794e-08,1.529371854650679e-14,0.0,10.0
40,20563.0,20563,715.5710118877414,715.5710118877403,629.3111099562209,3.86749143300295e-10,0.0,-1.0630304554921402e-12,715.5710119082838,-2.0543537694077157e-08,1.4717133764284298e-14,0.0,10.0
41,20623.0,20623,711.8753935249023,711.8753935249001,640.640984311075,3.867315004686418e-10,0.0,-2.1542821450236023e-12,711.8753935454598,-2.0559716908134363e-08,1.437920175674208e-14,0.0,10.0
42,20683.0,20683,708.3708466927735,708.3708466927696,651.9123447085175,3.866956702510547e-10,0.0,-3.884153221490532e-12,708.3708467133465,-2.0577019146860636e-08,1.3800183944142752e-14,0.0,10.0
43,20743.0,20743,705.2301409649428,705.2301409649391,663.1282164477844,3.8663100884646643e-10,0.0,-3.73964168552955e-12,705.2301409855311,-2.0591937973298865e-08,1.3307947226186207e-14,0.0,10.0
44,20803.0,20803,702.3055405429975,702.3055405429984,674.2943603463607,3.865687560058385e-10,0.0,9.394568415112326e-13,702.3055405636097,-2.061119961379997e-08,1.3589575074143845e-14,0.0,10.0
45,20863.0,20863,736.0977102012424,679.9107661722312,685.4141980715897,3.8658448806667327e-10,56.18694402900396,-7.209343483990879e-12,679.9107661928762,-2.064498766383011e-08,1.2346995394038582e-14,0.0,10.0
46,20923.0,20923,697.423349799124,697.4233497991312,696.1794518692814,3.864644100527384e-10,0.0,7.226064567545292e-12,697.4233498197743,-2.06431804634905e-08,1.3822778962544319e-14,0.0,10.0
47,20983.0,20983,747.8702948891347,666.9423255597096,707.2219882410657,3.8658491878771095e-10,80.9279693294194,-5.7016672145451115e-12,666.9423255803965,-2.068694566839604e-08,1.259650295392151e-14,0.0,10.0
48,21043.0,21043,737.6990635184706,669.9102354226349,717.7819083957255,3.864899699767437e-10,67.78882809583469,-1.1904614088581812e-12,669.9102354433265,-2.0691772360314198e-08,1.2607222648990963e-14,0.0,10.0
49,21103.0,21103,691.7344211876284,691.7344211876521,728.3888204565486,3.864702072346266e-10,0.0,2.36722486600664e-11,691.7344212083359,-2.0683903411953538e-08,1.660826064707663e-14,0.0,10.0
50,21163.0,21163,800.4053577578776,630.7390178557399,739.3412821253178,3.868648191088176e-10,169.6663399021036,-3.398017349783948e-11,630.7390178764916,-2.075175522384857e-08,1.0111556250824937e-14,0.0,10.0
51,21223.0,21223,689.0522592954997,689.0522592955153,749.3279832413315,3.862985669399006e-10,0.0,1.5583303519950356e-11,689.0522593162142,-2.0698839628626154e-08,1.3949226590485038e-14,0.0,10.0
52,21283.0,21283,694.3953717491911,685.216458563257,760.2379773468085,3.865583631294365e-10,9.178913185932364,-1.7720823604554737e-12,685.2164585839497,-2.069272062692766e-08,1.3050973131429883e-14,0.0,10.0
53,21343.0,21343,687.3170710013742,687.3170710013769,771.0872379406914,3.865289037350826e-10,0.0,2.73874781486311e-12,687.31707102208,-2.0703132046816893e-08,1.3561047401835572e-14,0.0,10.0
54,21403.0,21403,723.7769631984363,667.2820906660942,781.9697582315112,3.8657462421010214e-10,56.49487253233308,-8.911390806033832e-12,667.2820906868258,-2.0731539625808077e-08,1.1975154948153936e-14,0.0,10.0
55,21463.0,21463,686.261557945286,686.2615579452873,792.5350580003554,3.8642617891519763e-10,0.0,1.3767636284028883e-12,686.2615579660005,-2.07131206342843e-08,1.2541346466380253e-14,0.0,10.0
56,21523.0,21523,686.1284616050657,686.1284616050683,803.4008660011203,3.864491996695174e-10,0.0,2.6183556769455766e-12,686.1284616257865,-2.0718098359897264e-08,1.2914070533843027e-14,0.0,10.0
57,21583.0,21583,731.4293633384425,662.7503914464334,814.2645666431652,3.8649291360305266e-10,68.67897189199866,-1.0437510697716851e-11,662.7503914671822,-2.074888950017795e-08,1.1077693779023454e-14,0.0,10.0
58,21643.0,21643,686.7308683762232,686.7308683762271,824.7581145076981,3.863190336304256e-10,0.0,3.969663771061051e-12,686.7308683969484,-2.0721386773959e-08,1.2134068981400374e-14,0.0,10.0
59,21703.0,21703,687.2592340623102,687.2592340623187,835.631353256953,3.8638526935231817e-10,0.0,8.621419432230229e-12,687.259234083042,-2.072320009308114e-08,1.3413056625445671e-14,0.0,10.0
60,21763.0,21763,751.7465329693912,653.7456216181349,846.5129577962376,3.865290343039192e-10,98.00091135125798,1.6668796970351027e-12,653.7456216389153,-2.0780349107223714e-08,1.3373345132880208e-14,0.0,10.0
61,21823.0,21823,789.8859372185686,634.2215987524356,856.8639301384891,3.8655689550786727e-10,155.6643384661123,-2.0707417696223175e-11,634.2215987732362,-2.080056784110151e-08,9.875316289029064e-15,0.0,10.0
62,21883.0,21883,690.0029577871371,690.0029577871506,866.9057721187005,3.862118549619918e-10,0.0,1.3603972255088066e-11,690.0029578078783,-2.07275374776443e-08,1.2933094415002454e-14,0.0,10.0
63,21943.0,21943,691.7337843049633,691.733784304964,877.8308189502949,3.8643866223602836e-10,0.0,7.659916770295272e-13,691.7337843256767,-2.0712657631183936e-08,1.2532266598425216e-14,0.0,10.0
64,22003.0,22003,712.9202538043191,682.9755867045087,888.7832705350879,3.8645150333397333e-10,29.944667099804246,-6.202652876469258e-12,682.9755867252312,-2.0722541228913793e-08,1.1459801119764308e-14,0.0,10.0
65,22063.0,22063,695.123132546728,695.1231325467312,899.597050657874,3.8634820195361233e-10,0.0,3.206952393638351e-12,695.1231325674436,-2.0712336474900875e-08,1.222425876239505e-14,0.0,10.0
66,22123.0,22123,743.6043696761659,672.3694972602109,910.6031669231618,3.8640172541367123e-10,71.23487241594484,-1.0235074378868582e-11,672.3694972809404,-2.0729526652349745e-08,1.0398735262467506e-14,0.0,10.0
67,22183.0,22183,699.8219597435212,699.8219597435353,921.249017296413,3.8623121918849283e-10,0.0,1.4097685052974107e-11,699.8219597642385,-2.070315153225636e-08,1.3136287050792617e-14,0.0,10.0
68,22243.0,22243,773.1341950079432,663.230020291651,932.3295316589837,3.8646625466362527e-10,109.90417471628145,-1.065564364689373e-11,663.2300203123917,-2.0740623719627505e-08,1.0842583572312629e-14,0.0,10.0
