,btms_size,cost_a,cost_b_sys,cost_b_cap,cost_b_loan,cost_b,cost_c,cost_total,share_cost_a,share_cost_b_sys,share_cost_b_cap,share_cost_b_loan,share_cost_b,share_cost_c,E_Charge,c_rate,cycles_day,btms_ratio,load_factor,btms_peak_to_grid_ratio,grid_peak_to_charge_peak_ratio
1326,57.208333703759365,24.657534285706934,6.485978894231682,9.283610362256347,3.746624499560408,15.769589256488029,7.126236147071258,47.55335968926622,0.518523495433965,0.13639370460076455,0.19522512022114497,0.07878779804502643,0.3316188248219095,0.14985767974412534,866.0,2.6219956088857557,5.9723233365461414,0.3945342568405095,0.25723010417150877,0.9999999968325168,0.5000000007935017
1332,37.82916705246546,24.657534377874384,6.485978870084016,9.16690264933989,3.6995242918353846,15.652881519423907,7.091223496037455,47.40163939333575,0.5201831559720488,0.13683026479872945,0.19338788207879318,0.07804633635425498,0.33021814687752266,0.14959869715042848,874.3333333333333,3.965194343201737,8.906267083559289,0.38534121080957534,0.259465422514682,0.9999999893715582,0.5000000026624528
1343,255.74582033712363,24.657535431816985,6.4859785934652,8.54329289920139,3.447851561414394,15.02927149266659,6.608431981525107,46.295238906008684,0.5326149300552949,0.1401003374587485,0.184539341433068,0.07447529471474215,0.3246396788918165,0.14274539105288847,689.7916666666666,0.5865198211623914,1.227781499298317,0.45520988713905164,0.20704986723426094,0.9999999039795969,0.5000000240340666
135,151.0474454317674,9.026472533462501,23.569569916998976,12.364597834983481,4.9900311805526325,35.93416775198246,9.588681302888634,54.5493215883336,0.1654735983993059,0.43207814929159033,0.22666822381944862,0.09147741961322292,0.658746373111039,0.17578002848965504,554.8333333333334,3.6087267626184576,3.007299776893026,0.8187052248973545,0.481976615988494,9.926764206135292,0.0915184020753837
1350,75.16711758363016,20.547698200687975,20.538998170298296,10.642944543044743,4.295216539305802,31.18194271334304,8.22758180187266,59.957222715903676,0.34270597052250873,0.3425608665634594,0.1775089649077708,0.07163801698517457,0.5200698314712302,0.13722419800626107,700.125,6.319272547392892,5.204563313765534,0.558774536800231,0.256410536911855,3.8000577010161556,0.20833082897919755
1357,60.7500005599622,24.657534269663067,19.45793670737487,8.881210075647736,3.5842261745975836,28.339146783022606,6.880192944238906,59.87687399692458,0.4118039674370699,0.3249658074730868,0.14832454473331216,0.05985994149897802,0.473290352206399,0.11490568035653112,837.2916666666666,7.407407336817803,5.37174207502913,0.38974869457993594,0.24868008534565292,2.9999999962546577,0.2500000002340839
1371,184.8635682099693,8.31200395596127,23.757505501934244,12.338974026751018,4.979690075750765,36.096479528685265,9.508826230315849,53.917309714962386,0.15416206780166256,0.4406285407697445,0.22884995731392874,0.09235791069836836,0.6694784980836733,0.17635943411466412,542.2916666666666,2.9721124318229464,2.4548020129863914,0.8368254341046725,0.5125149219381904,10.865987733990538,0.0842744845534962
1374,184.8333337870896,24.657534315675132,25.943915599754384,10.814881468214564,4.364605825486891,36.75879706796895,8.349344733438016,69.7656761170821,0.3534336035716817,0.37187220197242565,0.15501722437355617,0.06256093351925847,0.5268894263459818,0.11967697008233656,808.7083333333333,3.246167708422042,2.1512624292447495,0.49167912615576703,0.2441379301322281,3.999999985988099,0.20000000056047607
1424,50.91667696744916,24.657534754598046,6.485978772079462,7.528202346050988,3.0381873265637105,14.01418111813045,5.846200336719348,44.51791620944785,0.553878906608955,0.14569367401574312,0.16910500281801846,0.06824639572682714,0.3147986768337616,0.13132241655728338,982.2916666666666,2.9459895239006135,5.430440902238001,0.2814846288458881,0.2865906828530783,0.9999999589831037,0.5000000103015716
1430,73.41667256870372,24.657532051038782,19.457937290967312,8.873457746659104,3.5810975355677135,28.331395037626415,7.500000770699434,60.48892785936463,0.407637115148858,0.32167766861741326,0.14669556992793276,0.0592025294925657,0.468373238545346,0.12398964630579606,692.3333333333334,6.129398100071461,4.370034176268901,0.4634088130474417,0.20982165586298943,3.0000003561648536,0.24999997773969876
18,118.58333363140976,24.657534251387606,19.45793671222104,12.431874799083975,5.017182419361593,31.889811511305016,9.636838780649637,66.18418454334225,0.3725593118887798,0.29399677349622033,0.1878375458557274,0.07580636452619544,0.48183431935194776,0.14560636875927252,843.5416666666667,3.7947997091256713,3.851721717500277,0.5414670306525248,0.2568029621473549,2.999999999225349,0.250000000048791
189,64.67501738296284,24.65753452737073,19.457936639586823,8.762694336271469,3.5363962942596587,28.220630975858292,6.79580699991986,59.67397250314888,0.41320417416604194,0.3260707444700462,0.14684281888237086,0.05926195535370215,0.4729135633524171,0.11388226248154097,892.5416666666667,6.9578643578435395,4.977450078156418,0.36067410895207064,0.26384249641611984,2.999999954448752,0.25000000284695323
203,139.29166765269164,24.657534373893213,32.429894488923225,10.374188332988664,4.186753499420059,42.80408282191189,8.024791295408127,75.48640849121323,0.3266486625438459,0.4296123651544255,0.13743120835052366,0.05546367330361737,0.5670435735049493,0.10630776395120493,917.0416666666666,5.384385239004573,2.7373616930249707,0.41578446110959355,0.27349963096076213,4.999999969019323,0.16666666752724116
210,67.70833062565595,24.65753528348865,6.485978631795691,9.676833294484004,3.9053190821834396,16.162811926279694,7.824705557184856,48.6450527669532,0.5068868030962367,0.13333274943432505,0.19892738817333377,0.08028193742317206,0.3322601376076588,0.16085305929610452,898.6666666666669,2.215384610838168,5.211076915028941,0.3926186780547136,0.2679284241213438,0.9999999159048804,0.5000000210262976
216,67.52083467869018,49.31506843997576,12.971957822977842,4.409495328884999,1.7795580151731416,17.381453151862843,3.4288235684638297,70.12534516030243,0.7032417213383322,0.18498244526746652,0.06288019429786978,0.025376816486324255,0.24786263956533633,0.04889563909633157,1266.5,4.443073041849511,2.3980252797694646,0.12784577060452726,0.17999632121384804,1.0000000021584887,0.4999999994608654
258,116.6291667255059,24.657534257783908,12.971957806017148,8.79512728749267,3.5494853926703844,21.76708509350982,6.823939836868917,53.248559188162645,0.46306481590708226,0.24361143294372672,0.1651711787433276,0.06665880629986037,0.4087826116870543,0.12815257240586342,856.1666666666666,2.5722553659144975,2.770176128179328,0.37736032724832774,0.2537964785431189,1.9999999986363215,0.33333333348485655
268,92.91668153748827,24.65753458128079,19.457936625407086,10.075857054112538,4.066354728380854,29.533793679519626,7.823242183114246,62.014570443914664,0.3976087297674795,0.3137639507316211,0.16247564051459548,0.06557095694242408,0.4762395912462166,0.1261516789863038,878.0833333333331,4.843048530336707,3.9829590742439818,0.4214672182348417,0.26220347613298706,2.9999999457034807,0.25000000339354134
