,btms_size,cost_a,cost_b_sys,cost_b_cap,cost_b_loan,cost_b,cost_c,cost_total,share_cost_a,share_cost_b_sys,share_cost_b_cap,share_cost_b_loan,share_cost_b,share_cost_c,E_Charge,c_rate,cycles_day,btms_ratio,load_factor,btms_peak_to_grid_ratio
268,485.81733956367066,27.62130164743476,24.127521711679126,19.968217353681357,8.058654923090367,44.09573906536048,15.527285814266602,87.24432652706184,0.31659711005812,0.2765511830066697,0.22887697284805705,0.09236881346766654,0.5054281558547268,0.17797473408715325,878.0833333333331,1.1485646112319494,1.50927700910255,0.8350379894392882,0.9999999949627767,13.283198995533533
270,126.9496010580514,9.957030892678358,12.317177289844935,7.968761883783594,3.2159857361452624,20.285939173628527,6.196509240838602,36.43947930714549,0.273248440482679,0.3380173790636365,0.21868484498956556,0.08825553485652121,0.556702224053202,0.1700493354641189,311.54166666666663,2.2438590838331613,2.3049535716040404,0.9392417377208946,0.999999997702525,18.811154158556818
276,196.9965699916224,18.508977107518756,11.754796009050363,13.944214901256425,5.627523682875139,25.69901091030679,10.843021507225144,55.05100952505069,0.33621503524102203,0.21352553042104344,0.25329626144114903,0.10222380536571926,0.4668217918621925,0.1969631728967855,584.7500000000001,1.3799779897751692,2.5991902863884597,0.8756418489509521,0.9999999989507223,9.657545947955473
290,387.6459830731785,31.507068026978658,17.38601240351554,21.752979693839038,8.778938740333892,39.138992097354574,16.915117010587974,87.56117713492121,0.3598291966590407,0.19855845903859645,0.2484317868445318,0.10026062951171393,0.4469902458831282,0.1931805574578311,1008.2500000000001,1.0372427892412146,2.060564146750085,0.7922334880756577,0.999999949610311,8.39123915666909
299,164.45484606268863,12.528720042735625,24.039022743016936,9.738535505025128,3.930220494960335,33.77755824804206,7.572685208643802,53.87896349942149,0.23253454092282508,0.44616713428934185,0.18074838253207476,0.072945361968638,0.6269155168214166,0.14054994225575834,393.875,3.3805382951422174,2.174451117170128,0.9078997746621511,0.9999999929190949,29.177240012726852
301,111.92162206212234,6.413272284078774,12.550217050883491,5.26057813727985,2.1230329755237856,17.81079518816334,4.090625559549289,28.3146930317914,0.22649979912824866,0.44324044187207884,0.18578969340664708,0.07497990436061128,0.6290301352787259,0.1444700655930256,199.83333333333334,2.593301244095132,1.7259259260350432,0.9666476857426819,0.999999999708415,29.7581317672185
303,306.2396747468509,24.178224493199508,24.353940598099474,17.7045794903569,7.145109357741726,42.058520088456376,13.767081011717123,80.00382559337301,0.3022133543474235,0.30440970062957584,0.2212966612414523,0.08930959619427974,0.5257063618710281,0.17208028378154827,767.1666666666667,1.8391769476489674,2.1228867860546936,0.847419716123107,0.9999999984030891,15.317184417580801
307,345.896704744636,27.96953430845025,24.10462171626757,20.668063286781322,8.341094600818588,44.77268500304889,16.07148601182208,88.81370532332122,0.3149236281340674,0.27140655407311376,0.23271254376270442,0.09391675046608303,0.5041190978358182,0.18095727403011455,886.2500000000001,1.6116458823181694,2.194098045688904,0.856339953614034,0.9999999978843452,13.105367061049968
324,328.8483046698479,19.77101708726246,24.64376128734731,14.920161563098217,6.021390457851674,39.56392285044553,11.601917631497084,70.93685756920507,0.27871289714199865,0.3474041863682103,0.2103301735426087,0.0848838060239317,0.557734359910819,0.16355274294718236,624.4583333333333,1.7331139315330404,1.666021459793574,0.8773497018963667,0.9999999957582029,18.95448925095342
327,117.9897625957742,6.316491737648034,12.5565813995973,5.114481877853903,2.064072312214953,17.671063277451204,3.977021108224902,27.964576123324143,0.2258747534663935,0.449017404884759,0.18289145007236912,0.07381024847694337,0.6319088549571281,0.1422163915764783,197.25000000000003,2.4611768210047322,1.5916955032628775,0.9521103906451113,0.9999999985421664,30.22940425892994
